notification_date,lga_name19,confirmed_cases_count
2020-03-23,Canterbury-Bankstown (A),5
2020-03-23,Central Coast (C) (NSW),6
2020-03-23,Cessnock (C),3
2020-03-23,Cumberland (A),3
2020-03-23,Dubbo Regional (A),2
2020-03-23,Dungog (A),1
2020-03-23,Georges River (A),2
2020-03-23,Goulburn Mulwaree (A),2
2020-03-23,Hawkesbury (C),1
2020-03-23,Hornsby (A),3
2020-03-23,Inner West (A),5
2020-03-23,Inverell (A),2
2020-03-23,Kempsey (A),1
2020-03-23,Kiama (A),1
2020-03-23,Ku-ring-gai (A),2
2020-03-23,Lake Macquarie (C),8
2020-03-23,Lane Cove (A),4
2020-03-23,Lismore (C),1
2020-03-23,Lithgow (C),1
2020-03-23,Liverpool (C),2
2020-03-23,Liverpool Plains (A),1
2020-03-23,Maitland (C),3
2020-03-23,Mid-Coast (A),4
2020-03-23,Mid-Western Regional (A),1
2020-03-23,Nambucca (A),1
2020-03-23,Newcastle (C),7
2020-03-23,North Sydney (A),3
2020-03-23,Northern Beaches (A),6
2020-03-23,Parramatta (C),3
2020-03-23,Penrith (C),3
2020-03-23,Port Macquarie-Hastings (A),1
2020-03-23,Port Stephens (A),1
2020-03-23,Queanbeyan-Palerang Regional (A),1
2020-03-23,Randwick (C),5
2020-03-23,Ryde (C),4
2020-03-23,Shellharbour (C),2
2020-03-23,Shoalhaven (C),2
2020-03-23,Sutherland Shire (A),8
2020-03-23,Sydney (C),7
2020-03-23,Tamworth Regional (A),1
2020-03-23,The Hills Shire (A),3
2020-03-23,Tweed (A),6
2020-03-23,Warrumbungle Shire (A),1
2020-03-23,Waverley (A),15
2020-03-23,Willoughby (C),2
2020-03-23,Wingecarribee (A),1
2020-03-23,Wollongong (C),5
2020-03-23,Woollahra (A),9
2020-03-24,Albury (C),1
2020-03-24,Bathurst Regional (A),2
2020-03-24,Bayside (A),2
2020-03-24,Bega Valley (A),1
2020-03-24,Blacktown (C),4
2020-03-24,Blue Mountains (C),2
2020-03-24,Byron (A),1
2020-03-24,Cabonne (A),1
2020-03-24,Canterbury-Bankstown (A),6
2020-03-24,Central Coast (C) (NSW),13
2020-03-24,Cessnock (C),2
2020-03-24,Clarence Valley (A),1
2020-03-24,Cootamundra-Gundagai Regional (A),1
2020-03-24,Cumberland (A),2
2020-03-24,Eurobodalla (A),1
2020-03-24,Fairfield (C),2
