DATE,CASES,LGA
2021-12-25,0.0,Torres Strait Island
2021-12-24,0.0,Torres Strait Island
2021-12-23,0.0,Torres Strait Island
2021-12-22,0.0,Torres Strait Island
2021-12-21,0.0,Torres Strait Island
2021-12-20,0.0,Torres Strait Island
2021-12-31,0.0,Weipa
2021-12-30,0.0,Weipa
2021-12-29,0.0,Weipa
2021-12-28,0.0,Weipa
2021-12-27,0.0,Weipa
2021-12-25,0.0,Weipa
2021-12-24,0.0,Weipa
2021-12-23,0.0,Weipa
2021-12-22,0.0,Weipa
2021-12-21,0.0,Weipa
2021-12-20,0.0,Weipa
2021-12-31,0.0,Winton
2021-12-30,0.0,Winton
2021-12-29,0.0,Winton
2021-12-28,0.0,Winton
2021-12-27,0.0,Winton
2021-12-25,0.0,Winton
2021-12-24,0.0,Winton
2021-12-23,0.0,Winton
2021-12-22,0.0,Winton
2021-12-21,0.0,Winton
2021-12-20,0.0,Winton
2021-12-31,0.0,Wujal Wujal
2021-12-30,0.0,Wujal Wujal
2021-12-29,0.0,Wujal Wujal
2021-12-28,0.0,Wujal Wujal
2021-12-27,0.0,Wujal Wujal
2021-12-25,0.0,Wujal Wujal
2021-12-24,0.0,Wujal Wujal
2021-12-23,0.0,Wujal Wujal
2021-12-22,0.0,Wujal Wujal
2021-12-21,0.0,Wujal Wujal
2021-12-20,0.0,Wujal Wujal
2021-12-31,0.0,Yarrabah
2021-12-30,0.0,Yarrabah
2021-12-29,0.0,Yarrabah
2021-12-28,0.0,Yarrabah
2021-12-27,0.0,Yarrabah
2021-12-25,0.0,Yarrabah
2021-12-24,0.0,Yarrabah
2021-12-23,0.0,Yarrabah
2021-12-22,0.0,Yarrabah
2021-12-21,0.0,Yarrabah
2021-12-20,0.0,Yarrabah
