LGA,Total cases,Date
Tea Tree Gully (C),350,2021-12-29
Tea Tree Gully (C),276,2021-12-28
Tea Tree Gully (C),233,2021-12-27
Tea Tree Gully (C),186,2021-12-26
Tea Tree Gully (C),146,2021-12-25
Tea Tree Gully (C),120,2021-12-24
Tea Tree Gully (C),76,2021-12-23
Tea Tree Gully (C),60,2021-12-22
Tea Tree Gully (C),45,2021-12-21
Tea Tree Gully (C),43,2021-12-20
Campbelltown (C) (SA),1251,2022-01-06
Campbelltown (C) (SA),1138,2022-01-05
Campbelltown (C) (SA),1020,2022-01-04
Campbelltown (C) (SA),939,2022-01-03
Campbelltown (C) (SA),811,2022-01-02
Campbelltown (C) (SA),700,2022-01-01
Campbelltown (C) (SA),602,2021-12-31
Campbelltown (C) (SA),493,2021-12-30
Campbelltown (C) (SA),391,2021-12-29
Campbelltown (C) (SA),308,2021-12-28
Campbelltown (C) (SA),262,2021-12-27
Campbelltown (C) (SA),216,2021-12-26
Campbelltown (C) (SA),160,2021-12-25
Campbelltown (C) (SA),116,2021-12-24
Campbelltown (C) (SA),74,2021-12-23
Campbelltown (C) (SA),51,2021-12-22
Campbelltown (C) (SA),41,2021-12-21
Campbelltown (C) (SA),39,2021-12-20
Holdfast Bay (C),706,2022-01-06
Holdfast Bay (C),617,2022-01-05
Holdfast Bay (C),513,2022-01-04
Holdfast Bay (C),442,2022-01-03
Holdfast Bay (C),373,2022-01-02
Holdfast Bay (C),324,2022-01-01
Holdfast Bay (C),275,2021-12-31
Holdfast Bay (C),220,2021-12-30
Holdfast Bay (C),175,2021-12-29
Holdfast Bay (C),134,2021-12-28
Holdfast Bay (C),108,2021-12-27
Holdfast Bay (C),83,2021-12-26
Holdfast Bay (C),64,2021-12-25
Holdfast Bay (C),52,2021-12-24
Holdfast Bay (C),34,2021-12-23
Holdfast Bay (C),28,2021-12-22
Holdfast Bay (C),22,2021-12-21
Holdfast Bay (C),20,2021-12-20
Mitcham (C),923,2022-01-06
Mitcham (C),840,2022-01-05
Mitcham (C),719,2022-01-04
Mitcham (C),622,2022-01-03
Mitcham (C),548,2022-01-02
Mitcham (C),463,2022-01-01
Mitcham (C),381,2021-12-31
Mitcham (C),297,2021-12-30
Mitcham (C),255,2021-12-29
Mitcham (C),189,2021-12-28
Mitcham (C),156,2021-12-27
Mitcham (C),125,2021-12-26
Mitcham (C),108,2021-12-25
Mitcham (C),86,2021-12-24
Mitcham (C),71,2021-12-23
Mitcham (C),58,2021-12-22
Mitcham (C),54,2021-12-21
Mitcham (C),51,2021-12-20
Burnside (C),740,2022-01-06
Burnside (C),658,2022-01-05
Burnside (C),583,2022-01-04
Burnside (C),518,2022-01-03
Burnside (C),467,2022-01-02
Burnside (C),407,2022-01-01
Burnside (C),354,2021-12-31
Burnside (C),292,2021-12-30
Burnside (C),250,2021-12-29
Burnside (C),201,2021-12-28
Burnside (C),180,2021-12-27
Burnside (C),150,2021-12-26
Burnside (C),126,2021-12-25
Burnside (C),97,2021-12-24
Burnside (C),59,2021-12-23
Burnside (C),41,2021-12-22
Burnside (C),33,2021-12-21
Burnside (C),30,2021-12-20
Murray Bridge (RC),257,2022-01-06
Murray Bridge (RC),176,2022-01-05
Murray Bridge (RC),162,2022-01-04
Murray Bridge (RC),102,2022-01-03
Murray Bridge (RC),84,2022-01-02
Murray Bridge (RC),63,2022-01-01
Murray Bridge (RC),50,2021-12-31
Murray Bridge (RC),39,2021-12-30
Murray Bridge (RC),30,2021-12-29
Murray Bridge (RC),22,2021-12-28
Murray Bridge (RC),18,2021-12-27
Murray Bridge (RC),12,2021-12-26
Murray Bridge (RC),8,2021-12-25
Murray Bridge (RC),5,2021-12-24
Murray Bridge (RC),1,2021-12-23
Murray Bridge (RC),1,2021-12-22
Murray Bridge (RC),1,2021-12-21
Murray Bridge (RC),1,2021-12-20
Unley (C),676,2022-01-06
Unley (C),605,2022-01-05
Unley (C),524,2022-01-04
Unley (C),456,2022-01-03
Unley (C),402,2022-01-02
Unley (C),344,2022-01-01
Unley (C),278,2021-12-31
Unley (C),213,2021-12-30
Unley (C),178,2021-12-29
Unley (C),143,2021-12-28
Unley (C),116,2021-12-27
Unley (C),98,2021-12-26
Unley (C),86,2021-12-25
Unley (C),64,2021-12-24
Unley (C),39,2021-12-23
Unley (C),28,2021-12-22
Unley (C),22,2021-12-21
Unley (C),19,2021-12-20
Norwood Payneham St Peters (C),713,2022-01-06
Norwood Payneham St Peters (C),643,2022-01-05
Norwood Payneham St Peters (C),552,2022-01-04
Norwood Payneham St Peters (C),475,2022-01-03
Norwood Payneham St Peters (C),433,2022-01-02
Norwood Payneham St Peters (C),357,2022-01-01
Norwood Payneham St Peters (C),316,2021-12-31
Norwood Payneham St Peters (C),274,2021-12-30
Norwood Payneham St Peters (C),230,2021-12-29
Norwood Payneham St Peters (C),180,2021-12-28
Norwood Payneham St Peters (C),157,2021-12-27
Norwood Payneham St Peters (C),132,2021-12-26
Norwood Payneham St Peters (C),114,2021-12-25
Norwood Payneham St Peters (C),82,2021-12-24
Norwood Payneham St Peters (C),53,2021-12-23
Norwood Payneham St Peters (C),32,2021-12-22
Norwood Payneham St Peters (C),23,2021-12-21
Norwood Payneham St Peters (C),20,2021-12-20
Prospect (C),480,2022-01-06
Prospect (C),427,2022-01-05
Prospect (C),374,2022-01-04
Prospect (C),310,2022-01-03
Prospect (C),276,2022-01-02
Prospect (C),223,2022-01-01
Prospect (C),187,2021-12-31
Prospect (C),144,2021-12-30
Prospect (C),122,2021-12-29
Prospect (C),99,2021-12-28
Prospect (C),83,2021-12-27
Prospect (C),74,2021-12-26
Prospect (C),58,2021-12-25
Prospect (C),44,2021-12-24
Prospect (C),30,2021-12-23
Prospect (C),19,2021-12-22
Prospect (C),14,2021-12-21
Prospect (C),12,2021-12-20
Adelaide Hills (DC),352,2022-01-06
Adelaide Hills (DC),307,2022-01-05
Adelaide Hills (DC),265,2022-01-04
Adelaide Hills (DC),225,2022-01-03
Adelaide Hills (DC),202,2022-01-02
Adelaide Hills (DC),176,2022-01-01
Adelaide Hills (DC),148,2021-12-31
Adelaide Hills (DC),118,2021-12-30
Adelaide Hills (DC),105,2021-12-29
Adelaide Hills (DC),91,2021-12-28
Adelaide Hills (DC),81,2021-12-27
Adelaide Hills (DC),65,2021-12-26
Adelaide Hills (DC),46,2021-12-25
Adelaide Hills (DC),41,2021-12-24
Adelaide Hills (DC),25,2021-12-23
Adelaide Hills (DC),21,2021-12-22
Adelaide Hills (DC),18,2021-12-21
Adelaide Hills (DC),17,2021-12-20
Naracoorte and Lucindale (DC),126,2022-01-06
Naracoorte and Lucindale (DC),86,2022-01-05
Naracoorte and Lucindale (DC),36,2022-01-04
Naracoorte and Lucindale (DC),19,2022-01-03
Naracoorte and Lucindale (DC),14,2022-01-02
Naracoorte and Lucindale (DC),12,2022-01-01
Naracoorte and Lucindale (DC),9,2021-12-31
Naracoorte and Lucindale (DC),6,2021-12-30
Naracoorte and Lucindale (DC),5,2021-12-29
Naracoorte and Lucindale (DC),4,2021-12-28
Naracoorte and Lucindale (DC),4,2021-12-27
Naracoorte and Lucindale (DC),4,2021-12-26
Naracoorte and Lucindale (DC),2,2021-12-25
Naracoorte and Lucindale (DC),2,2021-12-24
Naracoorte and Lucindale (DC),2,2021-12-23
Naracoorte and Lucindale (DC),1,2021-12-22
Naracoorte and Lucindale (DC),1,2021-12-21
Naracoorte and Lucindale (DC),0,2021-12-20
Mount Barker (DC),395,2022-01-06
Mount Barker (DC),357,2022-01-05
Mount Barker (DC),335,2022-01-04
Mount Barker (DC),271,2022-01-03
Mount Barker (DC),232,2022-01-02
Mount Barker (DC),189,2022-01-01
Mount Barker (DC),146,2021-12-31
Mount Barker (DC),116,2021-12-30
Mount Barker (DC),87,2021-12-29
Mount Barker (DC),65,2021-12-28
Mount Barker (DC),57,2021-12-27
Mount Barker (DC),41,2021-12-26
Mount Barker (DC),33,2021-12-25
Mount Barker (DC),27,2021-12-24
Mount Barker (DC),19,2021-12-23
Mount Barker (DC),14,2021-12-22
Mount Barker (DC),11,2021-12-21
Mount Barker (DC),10,2021-12-20
Gawler (T),267,2022-01-06
Gawler (T),232,2022-01-05
Gawler (T),179,2022-01-04
Gawler (T),132,2022-01-03
Gawler (T),116,2022-01-02
Gawler (T),85,2022-01-01
Gawler (T),59,2021-12-31
Gawler (T),46,2021-12-30
Gawler (T),36,2021-12-29
Gawler (T),27,2021-12-28
Gawler (T),26,2021-12-27
Gawler (T),25,2021-12-26
Gawler (T),18,2021-12-25
Gawler (T),17,2021-12-24
Gawler (T),10,2021-12-23
Gawler (T),9,2021-12-22
Gawler (T),9,2021-12-21
Gawler (T),9,2021-12-20
Alexandrina (DC),180,2022-01-06
Alexandrina (DC),152,2022-01-05
Alexandrina (DC),130,2022-01-04
Alexandrina (DC),104,2022-01-03
Alexandrina (DC),86,2022-01-02
Alexandrina (DC),77,2022-01-01
Alexandrina (DC),62,2021-12-31
Alexandrina (DC),46,2021-12-30
Alexandrina (DC),35,2021-12-29
Alexandrina (DC),28,2021-12-28
Alexandrina (DC),21,2021-12-27
Alexandrina (DC),17,2021-12-26
Alexandrina (DC),13,2021-12-25
Alexandrina (DC),11,2021-12-24
Alexandrina (DC),8,2021-12-23
Alexandrina (DC),6,2021-12-22
Alexandrina (DC),6,2021-12-21
Alexandrina (DC),6,2021-12-20
Victor Harbor (C),79,2022-01-06
Victor Harbor (C),57,2022-01-05
Victor Harbor (C),45,2022-01-04
Victor Harbor (C),34,2022-01-03
Victor Harbor (C),33,2022-01-02
Victor Harbor (C),27,2022-01-01
Victor Harbor (C),25,2021-12-31
Victor Harbor (C),23,2021-12-30
Victor Harbor (C),21,2021-12-29
Victor Harbor (C),19,2021-12-28
Victor Harbor (C),19,2021-12-27
Victor Harbor (C),16,2021-12-26
Victor Harbor (C),16,2021-12-25
Victor Harbor (C),15,2021-12-24
Victor Harbor (C),13,2021-12-23
Victor Harbor (C),9,2021-12-22
Victor Harbor (C),8,2021-12-21
Victor Harbor (C),8,2021-12-20
Walkerville (M),184,2022-01-06
Walkerville (M),165,2022-01-05
Walkerville (M),145,2022-01-04
Walkerville (M),114,2022-01-03
Walkerville (M),106,2022-01-02
Walkerville (M),89,2022-01-01
Walkerville (M),82,2021-12-31
Walkerville (M),70,2021-12-30
Walkerville (M),63,2021-12-29
Walkerville (M),57,2021-12-28
Walkerville (M),48,2021-12-27
Walkerville (M),41,2021-12-26
Walkerville (M),38,2021-12-25
Walkerville (M),33,2021-12-24
Walkerville (M),22,2021-12-23
Walkerville (M),16,2021-12-22
Walkerville (M),13,2021-12-21
Walkerville (M),12,2021-12-20
Grant (DC),89,2022-01-06
Grant (DC),70,2022-01-05
Grant (DC),38,2022-01-04
Grant (DC),24,2022-01-03
Grant (DC),21,2022-01-02
Grant (DC),20,2022-01-01
Grant (DC),15,2021-12-31
Grant (DC),9,2021-12-30
Grant (DC),5,2021-12-29
Grant (DC),4,2021-12-28
Grant (DC),2,2021-12-27
Grant (DC),2,2021-12-26
Grant (DC),2,2021-12-25
Grant (DC),2,2021-12-24
Grant (DC),1,2021-12-23
Grant (DC),0,2021-12-22
Grant (DC),0,2021-12-21
Grant (DC),0,2021-12-20
Barossa (DC),192,2022-01-06
Barossa (DC),174,2022-01-05
Barossa (DC),145,2022-01-04
Barossa (DC),121,2022-01-03
Barossa (DC),110,2022-01-02
Barossa (DC),97,2022-01-01
Barossa (DC),85,2021-12-31
Barossa (DC),69,2021-12-30
Barossa (DC),56,2021-12-29
Barossa (DC),49,2021-12-28
Barossa (DC),46,2021-12-27
Barossa (DC),42,2021-12-26
Barossa (DC),37,2021-12-25
Barossa (DC),34,2021-12-24
Barossa (DC),22,2021-12-23
Barossa (DC),17,2021-12-22
Barossa (DC),16,2021-12-21
Barossa (DC),16,2021-12-20
Mount Gambier (C),139,2022-01-06
Mount Gambier (C),123,2022-01-05
Mount Gambier (C),77,2022-01-04
Mount Gambier (C),53,2022-01-03
Mount Gambier (C),33,2022-01-02
Mount Gambier (C),31,2022-01-01
Mount Gambier (C),23,2021-12-31
Mount Gambier (C),14,2021-12-30
Mount Gambier (C),14,2021-12-29
Mount Gambier (C),12,2021-12-28
Mount Gambier (C),10,2021-12-27
Mount Gambier (C),8,2021-12-26
Mount Gambier (C),7,2021-12-25
Mount Gambier (C),6,2021-12-24
Mount Gambier (C),5,2021-12-23
Mount Gambier (C),4,2021-12-22
Mount Gambier (C),4,2021-12-21
Mount Gambier (C),4,2021-12-20
Port Augusta (C),61,2022-01-06
Port Augusta (C),45,2022-01-05
Port Augusta (C),38,2022-01-04
Port Augusta (C),28,2022-01-03
Port Augusta (C),18,2022-01-02
Port Augusta (C),13,2022-01-01
Port Augusta (C),5,2021-12-31
Port Augusta (C),4,2021-12-30
Port Augusta (C),2,2021-12-29
Port Augusta (C),2,2021-12-28
Port Augusta (C),2,2021-12-27
Port Augusta (C),2,2021-12-26
Port Augusta (C),2,2021-12-25
Port Augusta (C),2,2021-12-24
Port Augusta (C),2,2021-12-23
Port Augusta (C),2,2021-12-22
Port Augusta (C),2,2021-12-21
Port Augusta (C),2,2021-12-20
Yorke Peninsula (DC),65,2022-01-06
Yorke Peninsula (DC),52,2022-01-05
Yorke Peninsula (DC),34,2022-01-04
Yorke Peninsula (DC),26,2022-01-03
Yorke Peninsula (DC),22,2022-01-02
Yorke Peninsula (DC),10,2022-01-01
Yorke Peninsula (DC),6,2021-12-31
Yorke Peninsula (DC),4,2021-12-30
Yorke Peninsula (DC),4,2021-12-29
Yorke Peninsula (DC),3,2021-12-28
Yorke Peninsula (DC),3,2021-12-27
Yorke Peninsula (DC),3,2021-12-26
Yorke Peninsula (DC),3,2021-12-25
Yorke Peninsula (DC),2,2021-12-24
Yorke Peninsula (DC),2,2021-12-23
Yorke Peninsula (DC),2,2021-12-22
Yorke Peninsula (DC),2,2021-12-21
Yorke Peninsula (DC),2,2021-12-20
Port Lincoln (C),66,2022-01-06
Port Lincoln (C),55,2022-01-05
Port Lincoln (C),34,2022-01-04
Port Lincoln (C),25,2022-01-03
Port Lincoln (C),21,2022-01-02
Port Lincoln (C),14,2022-01-01
Port Lincoln (C),11,2021-12-31
Port Lincoln (C),11,2021-12-30
Port Lincoln (C),8,2021-12-29
Port Lincoln (C),7,2021-12-28
Port Lincoln (C),7,2021-12-27
Port Lincoln (C),2,2021-12-26
Port Lincoln (C),2,2021-12-25
Port Lincoln (C),2,2021-12-24
Port Lincoln (C),1,2021-12-23
Port Lincoln (C),1,2021-12-22
Port Lincoln (C),1,2021-12-21
Port Lincoln (C),1,2021-12-20
Kangaroo Island (DC),34,2022-01-06
Kangaroo Island (DC),23,2022-01-05
Kangaroo Island (DC),23,2022-01-04
Kangaroo Island (DC),19,2022-01-03
Kangaroo Island (DC),19,2022-01-02
Kangaroo Island (DC),18,2022-01-01
Kangaroo Island (DC),15,2021-12-31
Kangaroo Island (DC),14,2021-12-30
Kangaroo Island (DC),11,2021-12-29
Kangaroo Island (DC),11,2021-12-28
Kangaroo Island (DC),11,2021-12-27
Kangaroo Island (DC),11,2021-12-26
Kangaroo Island (DC),7,2021-12-25
Kangaroo Island (DC),6,2021-12-24
Kangaroo Island (DC),3,2021-12-23
Kangaroo Island (DC),3,2021-12-22
Kangaroo Island (DC),3,2021-12-21
Kangaroo Island (DC),3,2021-12-20
Light (RegC),110,2022-01-06
Light (RegC),100,2022-01-05
Light (RegC),78,2022-01-04
Light (RegC),58,2022-01-03
Light (RegC),53,2022-01-02
Light (RegC),41,2022-01-01
Light (RegC),29,2021-12-31
Light (RegC),19,2021-12-30
Light (RegC),15,2021-12-29
Light (RegC),9,2021-12-28
Light (RegC),9,2021-12-27
Light (RegC),6,2021-12-26
Light (RegC),6,2021-12-25
Light (RegC),5,2021-12-24
Light (RegC),5,2021-12-23
Light (RegC),4,2021-12-22
Light (RegC),3,2021-12-21
Light (RegC),3,2021-12-20
Robe (DC),93,2022-01-06
Robe (DC),84,2022-01-05
Robe (DC),31,2022-01-04
Robe (DC),8,2022-01-03
Robe (DC),1,2022-01-02
Robe (DC),1,2022-01-01
Robe (DC),1,2021-12-31
Robe (DC),1,2021-12-30
Robe (DC),1,2021-12-29
Robe (DC),0,2021-12-28
Robe (DC),0,2021-12-27
Robe (DC),0,2021-12-26
Robe (DC),0,2021-12-25
Robe (DC),0,2021-12-24
Robe (DC),0,2021-12-23
Robe (DC),0,2021-12-22
Robe (DC),0,2021-12-21
Robe (DC),0,2021-12-20
Port Pirie City and Dists (M),57,2022-01-06
Port Pirie City and Dists (M),48,2022-01-05
Port Pirie City and Dists (M),42,2022-01-04
Port Pirie City and Dists (M),34,2022-01-03
Port Pirie City and Dists (M),23,2022-01-02
Port Pirie City and Dists (M),21,2022-01-01
Port Pirie City and Dists (M),9,2021-12-31
Port Pirie City and Dists (M),5,2021-12-30
Port Pirie City and Dists (M),2,2021-12-29
Port Pirie City and Dists (M),1,2021-12-28
Port Pirie City and Dists (M),1,2021-12-27
Port Pirie City and Dists (M),1,2021-12-26
Port Pirie City and Dists (M),1,2021-12-25
Port Pirie City and Dists (M),1,2021-12-24
Port Pirie City and Dists (M),1,2021-12-23
Port Pirie City and Dists (M),1,2021-12-22
Port Pirie City and Dists (M),1,2021-12-21
Port Pirie City and Dists (M),1,2021-12-20
Kingston (DC) (SA),36,2022-01-06
Kingston (DC) (SA),27,2022-01-05
Kingston (DC) (SA),10,2022-01-04
Kingston (DC) (SA),5,2022-01-03
Kingston (DC) (SA),3,2022-01-02
Kingston (DC) (SA),1,2022-01-01
Kingston (DC) (SA),1,2021-12-31
Kingston (DC) (SA),1,2021-12-30
Kingston (DC) (SA),1,2021-12-29
Kingston (DC) (SA),1,2021-12-28
Kingston (DC) (SA),1,2021-12-27
Kingston (DC) (SA),1,2021-12-26
Kingston (DC) (SA),1,2021-12-25
Kingston (DC) (SA),1,2021-12-24
Kingston (DC) (SA),1,2021-12-23
Kingston (DC) (SA),1,2021-12-22
Kingston (DC) (SA),1,2021-12-21
Kingston (DC) (SA),1,2021-12-20
Wattle Range (DC),72,2022-01-06
Wattle Range (DC),64,2022-01-05
Wattle Range (DC),35,2022-01-04
Wattle Range (DC),14,2022-01-03
Wattle Range (DC),7,2022-01-02
Wattle Range (DC),6,2022-01-01
Wattle Range (DC),5,2021-12-31
Wattle Range (DC),5,2021-12-30
Wattle Range (DC),4,2021-12-29
Wattle Range (DC),4,2021-12-28
Wattle Range (DC),4,2021-12-27
Wattle Range (DC),4,2021-12-26
Wattle Range (DC),4,2021-12-25
Wattle Range (DC),4,2021-12-24
Wattle Range (DC),4,2021-12-23
Wattle Range (DC),2,2021-12-22
Wattle Range (DC),2,2021-12-21
Wattle Range (DC),2,2021-12-20
Copper Coast (DC),62,2022-01-06
Copper Coast (DC),55,2022-01-05
Copper Coast (DC),41,2022-01-04
Copper Coast (DC),33,2022-01-03
Copper Coast (DC),28,2022-01-02
Copper Coast (DC),24,2022-01-01
Copper Coast (DC),15,2021-12-31
Copper Coast (DC),9,2021-12-30
Copper Coast (DC),7,2021-12-29
Copper Coast (DC),6,2021-12-28
Copper Coast (DC),6,2021-12-27
Copper Coast (DC),6,2021-12-26
Copper Coast (DC),6,2021-12-25
Copper Coast (DC),5,2021-12-24
Copper Coast (DC),5,2021-12-23
Copper Coast (DC),5,2021-12-22
Copper Coast (DC),5,2021-12-21
Copper Coast (DC),5,2021-12-20
Renmark Paringa (DC),47,2022-01-06
Renmark Paringa (DC),40,2022-01-05
Renmark Paringa (DC),31,2022-01-04
Renmark Paringa (DC),28,2022-01-03
Renmark Paringa (DC),28,2022-01-02
Renmark Paringa (DC),18,2022-01-01
Renmark Paringa (DC),13,2021-12-31
Renmark Paringa (DC),7,2021-12-30
Renmark Paringa (DC),7,2021-12-29
Renmark Paringa (DC),6,2021-12-28
Renmark Paringa (DC),6,2021-12-27
Renmark Paringa (DC),6,2021-12-26
Renmark Paringa (DC),6,2021-12-25
Renmark Paringa (DC),6,2021-12-24
Renmark Paringa (DC),4,2021-12-23
Renmark Paringa (DC),4,2021-12-22
Renmark Paringa (DC),4,2021-12-21
Renmark Paringa (DC),4,2021-12-20
Tatiara (DC),45,2022-01-06
Tatiara (DC),39,2022-01-05
Tatiara (DC),17,2022-01-04
Tatiara (DC),11,2022-01-03
Tatiara (DC),8,2022-01-02
Tatiara (DC),7,2022-01-01
Tatiara (DC),5,2021-12-31
Tatiara (DC),4,2021-12-30
