Date,Total cases,LGA
2021-12-23,4.0,Douglas (S)
2021-12-22,4.0,Douglas (S)
2021-12-21,3.0,Douglas (S)
2021-12-20,2.0,Douglas (S)
2021-12-23,10.0,Goondiwindi (R)
2021-12-22,9.0,Goondiwindi (R)
2021-12-21,9.0,Goondiwindi (R)
2021-12-20,8.0,Goondiwindi (R)
2021-12-23,3.0,Central Highlands (R) (Qld)
2021-12-22,2.0,Central Highlands (R) (Qld)
2021-12-21,2.0,Central Highlands (R) (Qld)
2021-12-20,1.0,Central Highlands (R) (Qld)
2021-12-23,2.0,Maranoa (R)
2021-12-22,0.0,Maranoa (R)
2021-12-21,0.0,Maranoa (R)
2021-12-20,0.0,Maranoa (R)
2021-12-23,0.0,Mount Isa (C)
2021-12-22,0.0,Mount Isa (C)
2021-12-21,0.0,Mount Isa (C)
2021-12-20,0.0,Mount Isa (C)
2021-12-23,0.0,Burdekin (S)
2021-12-22,0.0,Burdekin (S)
2021-12-21,0.0,Burdekin (S)
2021-12-20,0.0,Burdekin (S)
2021-12-23,0.0,Blackall-Tambo (R)
2021-12-22,0.0,Blackall-Tambo (R)
2021-12-21,0.0,Blackall-Tambo (R)
2021-12-20,0.0,Blackall-Tambo (R)
2021-12-23,3.0,Charters Towers (R)
2021-12-22,3.0,Charters Towers (R)
2021-12-21,3.0,Charters Towers (R)
2021-12-20,3.0,Charters Towers (R)
2021-12-23,0.0,Murweh (S)
2021-12-22,0.0,Murweh (S)
2021-12-21,0.0,Murweh (S)
2021-12-20,0.0,Murweh (S)
2021-12-23,0.0,Lockhart River (S)
2021-12-22,0.0,Lockhart River (S)
2021-12-21,0.0,Lockhart River (S)
2021-12-20,0.0,Lockhart River (S)
2021-12-23,0.0,Quilpie (S)
2021-12-22,0.0,Quilpie (S)
2021-12-21,0.0,Quilpie (S)
2021-12-20,0.0,Quilpie (S)
2021-12-23,1.0,Banana (S)
2021-12-22,0.0,Banana (S)
2021-12-21,0.0,Banana (S)
2021-12-20,0.0,Banana (S)
2021-12-23,4.0,North Burnett (R)
2021-12-22,3.0,North Burnett (R)
2021-12-21,3.0,North Burnett (R)
2021-12-20,3.0,North Burnett (R)
2021-12-23,0.0,Palm Island (S)
2021-12-22,0.0,Palm Island (S)
2021-12-21,0.0,Palm Island (S)
2021-12-20,0.0,Palm Island (S)
2021-12-23,0.0,Paroo (S)
2021-12-22,0.0,Paroo (S)
2021-12-21,0.0,Paroo (S)
2021-12-20,0.0,Paroo (S)
2021-12-23,0.0,Balonne (S)
2021-12-22,0.0,Balonne (S)
2021-12-21,0.0,Balonne (S)
2021-12-20,0.0,Balonne (S)
2021-12-23,0.0,Longreach (R)
2021-12-22,0.0,Longreach (R)
2021-12-21,0.0,Longreach (R)
2021-12-20,0.0,Longreach (R)
2021-12-23,0.0,Doomadgee (S)
2021-12-22,0.0,Doomadgee (S)
2021-12-21,0.0,Doomadgee (S)
2021-12-20,0.0,Doomadgee (S)
2021-12-23,0.0,Cloncurry (S)
2021-12-22,0.0,Cloncurry (S)
2021-12-21,0.0,Cloncurry (S)
2021-12-20,0.0,Cloncurry (S)
2021-12-23,0.0,Flinders (S) (Qld)
2021-12-22,0.0,Flinders (S) (Qld)
2021-12-21,0.0,Flinders (S) (Qld)
2021-12-20,0.0,Flinders (S) (Qld)
2021-12-23,0.0,McKinlay (S)
2021-12-22,0.0,McKinlay (S)
2021-12-21,0.0,McKinlay (S)
2021-12-20,0.0,McKinlay (S)
2021-12-23,0.0,Woorabinda (S)
2021-12-22,0.0,Woorabinda (S)
2021-12-21,0.0,Woorabinda (S)
2021-12-20,0.0,Woorabinda (S)
2021-12-23,0.0,Aurukun (S)
2021-12-22,0.0,Aurukun (S)
2021-12-21,0.0,Aurukun (S)
2021-12-20,0.0,Aurukun (S)
2021-12-23,0.0,Barcaldine (R)
2021-12-22,0.0,Barcaldine (R)
2021-12-21,0.0,Barcaldine (R)
2021-12-20,0.0,Barcaldine (R)
2021-12-23,0.0,Barcoo (S)
2021-12-22,0.0,Barcoo (S)
2021-12-21,0.0,Barcoo (S)
2021-12-20,0.0,Barcoo (S)
2021-12-23,0.0,Boulia (S)
2021-12-22,0.0,Boulia (S)
2021-12-21,0.0,Boulia (S)
2021-12-20,0.0,Boulia (S)
2021-12-23,0.0,Bulloo (S)
2021-12-22,0.0,Bulloo (S)
2021-12-21,0.0,Bulloo (S)
2021-12-20,0.0,Bulloo (S)
2021-12-23,0.0,Burke (S)
2021-12-22,0.0,Burke (S)
2021-12-21,0.0,Burke (S)
2021-12-20,0.0,Burke (S)
2021-12-23,0.0,Carpentaria (S)
2021-12-22,0.0,Carpentaria (S)
2021-12-21,0.0,Carpentaria (S)
2021-12-20,0.0,Carpentaria (S)
2021-12-23,0.0,Croydon (S)
2021-12-22,0.0,Croydon (S)
2021-12-21,0.0,Croydon (S)
2021-12-20,0.0,Croydon (S)
2021-12-23,0.0,Diamantina (S)
2021-12-22,0.0,Diamantina (S)
2021-12-21,0.0,Diamantina (S)
2021-12-20,0.0,Diamantina (S)
2021-12-23,0.0,Etheridge (S)
2021-12-22,0.0,Etheridge (S)
2021-12-21,0.0,Etheridge (S)
2021-12-20,0.0,Etheridge (S)
2021-12-23,0.0,Hope Vale (S)
2021-12-22,0.0,Hope Vale (S)
2021-12-21,0.0,Hope Vale (S)
2021-12-20,0.0,Hope Vale (S)
2021-12-23,0.0,Kowanyama (S)
2021-12-22,0.0,Kowanyama (S)
2021-12-21,0.0,Kowanyama (S)
2021-12-20,0.0,Kowanyama (S)
2021-12-23,0.0,Mapoon (S)
